timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/12 22:37:45.527, 35 %, 1492 MiB, 22.56 W
2026/08/12 22:37:46.528, 2 %, 1492 MiB, 41.28 W
2026/08/12 22:37:47.533, 2 %, 1493 MiB, 43.26 W
2026/08/12 22:37:48.534, 2 %, 1493 MiB, 43.37 W
2026/08/12 22:37:49.536, 7 %, 1493 MiB, 41.62 W
2026/08/12 22:37:50.537, 13 %, 1493 MiB, 23.30 W
2026/08/12 22:37:51.538, 18 %, 1492 MiB, 22.99 W
2026/08/12 22:37:52.540, 27 %, 1491 MiB, 22.56 W
2026/08/12 22:37:53.541, 24 %, 1491 MiB, 21.87 W
2026/08/12 22:37:54.543, 31 %, 1491 MiB, 22.04 W
2026/08/12 22:37:55.545, 36 %, 1491 MiB, 22.30 W
2026/08/12 22:37:56.547, 28 %, 1491 MiB, 22.18 W
2026/08/12 22:37:57.548, 32 %, 1491 MiB, 22.06 W
2026/08/12 22:37:58.549, 33 %, 1491 MiB, 22.01 W
2026/08/12 22:37:59.550, 38 %, 1491 MiB, 22.27 W
2026/08/12 22:38:00.551, 19 %, 1491 MiB, 22.30 W
2026/08/12 22:38:01.552, 35 %, 1491 MiB, 22.05 W
2026/08/12 22:38:02.553, 40 %, 1491 MiB, 22.15 W
2026/08/12 22:38:03.553, 43 %, 1491 MiB, 22.59 W
2026/08/12 22:38:04.555, 41 %, 1492 MiB, 22.68 W
2026/08/12 22:38:05.555, 17 %, 1495 MiB, 23.04 W
2026/08/12 22:38:06.557, 12 %, 1495 MiB, 23.09 W
2026/08/12 22:38:07.558, 39 %, 1495 MiB, 22.85 W
2026/08/12 22:38:08.560, 41 %, 1495 MiB, 22.54 W
2026/08/12 22:38:09.563, 12 %, 1495 MiB, 23.04 W
2026/08/12 22:38:10.567, 39 %, 1495 MiB, 23.10 W
2026/08/12 22:38:11.572, 34 %, 1493 MiB, 22.43 W
2026/08/12 22:38:12.575, 35 %, 1497 MiB, 22.29 W
2026/08/12 22:38:13.576, 44 %, 1497 MiB, 22.44 W
2026/08/12 22:38:14.581, 21 %, 1497 MiB, 22.56 W
2026/08/12 22:38:15.582, 17 %, 1497 MiB, 22.95 W
2026/08/12 22:38:16.584, 44 %, 1497 MiB, 22.76 W
2026/08/12 22:38:17.585, 43 %, 1492 MiB, 22.56 W
2026/08/12 22:38:18.590, 10 %, 1492 MiB, 23.03 W
2026/08/12 22:38:19.592, 40 %, 1492 MiB, 23.06 W
2026/08/12 22:38:20.595, 43 %, 1492 MiB, 22.72 W
2026/08/12 22:38:21.597, 22 %, 1492 MiB, 22.67 W
2026/08/12 22:38:22.603, 46 %, 1492 MiB, 22.61 W
2026/08/12 22:38:23.606, 10 %, 1492 MiB, 23.16 W
2026/08/12 22:38:24.608, 10 %, 1497 MiB, 23.28 W
2026/08/12 22:38:25.611, 40 %, 1496 MiB, 22.66 W
2026/08/12 22:38:26.611, 41 %, 1496 MiB, 22.59 W
2026/08/12 22:38:27.612, 42 %, 1496 MiB, 22.82 W
2026/08/12 22:38:28.613, 12 %, 1495 MiB, 23.13 W
2026/08/12 22:38:29.614, 10 %, 1492 MiB, 23.28 W
2026/08/12 22:38:30.616, 36 %, 1492 MiB, 23.05 W
2026/08/12 22:38:31.620, 41 %, 1492 MiB, 22.80 W
2026/08/12 22:38:32.621, 9 %, 1497 MiB, 23.86 W
2026/08/12 22:38:33.629, 2 %, 1497 MiB, 42.59 W
2026/08/12 22:38:34.632, 2 %, 1497 MiB, 43.65 W
2026/08/12 22:38:35.632, 2 %, 1497 MiB, 43.81 W
2026/08/12 22:38:36.634, 11 %, 1496 MiB, 31.24 W
2026/08/12 22:38:37.635, 13 %, 1489 MiB, 23.58 W
2026/08/12 22:38:38.636, 29 %, 1584 MiB, 24.07 W
2026/08/12 22:38:39.637, 3 %, 1620 MiB, 42.38 W
2026/08/12 22:38:40.638, 9 %, 1620 MiB, 44.99 W
2026/08/12 22:38:41.639, 7 %, 1620 MiB, 45.05 W
2026/08/12 22:38:42.640, 7 %, 1620 MiB, 45.02 W
2026/08/12 22:38:43.641, 4 %, 1620 MiB, 44.58 W
2026/08/12 22:38:44.642, 3 %, 1620 MiB, 44.03 W
2026/08/12 22:38:45.643, 16 %, 1620 MiB, 31.40 W
2026/08/12 22:38:46.644, 30 %, 1620 MiB, 23.73 W
2026/08/12 22:38:47.657, 2 %, 1620 MiB, 25.12 W
2026/08/12 22:38:48.658, 7 %, 1620 MiB, 44.10 W
2026/08/12 22:38:49.662, 7 %, 1620 MiB, 44.82 W
2026/08/12 22:38:50.665, 5 %, 1620 MiB, 44.63 W
2026/08/12 22:38:51.666, 22 %, 1620 MiB, 31.89 W
2026/08/12 22:38:52.667, 21 %, 1620 MiB, 23.97 W
2026/08/12 22:38:53.667, 11 %, 1620 MiB, 23.84 W
2026/08/12 22:38:54.670, 2 %, 1620 MiB, 35.22 W
2026/08/12 22:38:55.678, 2 %, 1620 MiB, 43.73 W
2026/08/12 22:38:56.679, 2 %, 1620 MiB, 43.91 W
2026/08/12 22:38:57.680, 7 %, 1620 MiB, 44.26 W
2026/08/12 22:38:58.688, 12 %, 1620 MiB, 34.60 W
2026/08/12 22:38:59.690, 25 %, 1620 MiB, 25.05 W
2026/08/12 22:39:00.691, 26 %, 1618 MiB, 23.93 W
2026/08/12 22:39:01.693, 13 %, 1618 MiB, 23.74 W
2026/08/12 22:39:02.693, 2 %, 1618 MiB, 39.19 W
2026/08/12 22:39:03.694, 3 %, 1620 MiB, 43.92 W
2026/08/12 22:39:04.695, 2 %, 1620 MiB, 43.89 W
2026/08/12 22:39:05.697, 18 %, 1620 MiB, 31.64 W
2026/08/12 22:39:06.702, 21 %, 1620 MiB, 23.70 W
2026/08/12 22:39:07.707, 30 %, 1620 MiB, 23.72 W
2026/08/12 22:39:08.708, 6 %, 1620 MiB, 39.05 W
2026/08/12 22:39:09.709, 7 %, 1620 MiB, 44.28 W
2026/08/12 22:39:10.713, 2 %, 1630 MiB, 44.26 W
2026/08/12 22:39:11.715, 12 %, 1632 MiB, 31.72 W
2026/08/12 22:39:12.716, 18 %, 1631 MiB, 23.75 W
2026/08/12 22:39:13.716, 11 %, 1631 MiB, 23.85 W
2026/08/12 22:39:14.720, 49 %, 1631 MiB, 23.38 W
2026/08/12 22:39:15.721, 3 %, 1624 MiB, 39.41 W
2026/08/12 22:39:16.722, 3 %, 1625 MiB, 44.27 W
2026/08/12 22:39:17.724, 3 %, 1625 MiB, 44.00 W
2026/08/12 22:39:18.731, 11 %, 1625 MiB, 31.80 W
2026/08/12 22:39:19.731, 15 %, 1631 MiB, 23.67 W
2026/08/12 22:39:20.735, 37 %, 1635 MiB, 22.81 W
2026/08/12 22:39:21.743, 31 %, 1637 MiB, 22.76 W
2026/08/12 22:39:22.746, 44 %, 1637 MiB, 22.31 W
2026/08/12 22:39:23.747, 42 %, 1637 MiB, 22.69 W
2026/08/12 22:39:24.750, 39 %, 1508 MiB, 22.79 W
2026/08/12 22:39:25.753, 40 %, 1507 MiB, 23.12 W
2026/08/12 22:39:26.754, 40 %, 1507 MiB, 22.85 W
2026/08/12 22:39:27.755, 39 %, 1499 MiB, 22.35 W
2026/08/12 22:39:28.756, 40 %, 1499 MiB, 22.49 W
2026/08/12 22:39:29.758, 38 %, 1492 MiB, 22.53 W
2026/08/12 22:39:30.758, 39 %, 1492 MiB, 22.72 W
2026/08/12 22:39:31.759, 40 %, 1492 MiB, 22.43 W
2026/08/12 22:39:32.760, 37 %, 1492 MiB, 22.54 W
2026/08/12 22:39:33.761, 39 %, 1492 MiB, 22.24 W
2026/08/12 22:39:34.762, 39 %, 1490 MiB, 22.24 W
2026/08/12 22:39:35.764, 42 %, 1492 MiB, 22.44 W
2026/08/12 22:39:36.770, 7 %, 1494 MiB, 23.12 W
2026/08/12 22:39:37.779, 13 %, 1494 MiB, 22.03 W
2026/08/12 22:39:38.784, 34 %, 1494 MiB, 21.58 W
2026/08/12 22:39:39.793, 36 %, 1494 MiB, 21.85 W
2026/08/12 22:39:40.794, 33 %, 1494 MiB, 21.99 W
2026/08/12 22:39:41.795, 20 %, 1494 MiB, 22.56 W
2026/08/12 22:39:42.796, 21 %, 1493 MiB, 22.62 W
2026/08/12 22:39:43.819, 15 %, 1497 MiB, 22.69 W
